,year,gross,genre
257,1975,,Adventure
258,2009,,Biography
259,1984,2.18,Drama
260,1988,1.11,Animation
261,1999,23.16,Animation
262,2012,0.92,Comedy
263,2004,5.82,Drama
264,2000,5.38,Drama
265,2014,3.11,Comedy
266,1959,74.7,Adventure
267,1966,,Drama
268,1993,25.01,Biography
269,1976,,Drama
270,1949,0.45,Film-Noir
271,1957,44.91,Adventure
272,2016,,Animation
273,1954,9.6,Crime
274,1940,4.36,Drama
275,1997,,Animation
276,1962,,Drama
277,2004,23.53,Biography
278,1973,30.93,Comedy
279,1946,23.65,Drama
280,1998,1.65,Drama
281,1934,4.36,Comedy
282,2009,,Animation
283,2014,10.62,Comedy
284,1940,0.06,Drama
285,1930,3.27,Drama
286,1957,,Drama
287,1982,4.97,Drama
288,1994,4.04,Drama
289,1993,5.22,Drama
290,1959,,Crime
291,1974,13.34,Drama
292,1953,,Drama
293,2000,1.14,Drama
294,1948,10.9,Drama
295,2001,0.07,Drama
296,1995,0.17,Comedy
297,2015,8.18,Action
298,1966,0.1,Biography
299,1976,,Biography
300,1960,,Biography
301,1957,,Drama
302,1939,9.6,Comedy
303,1966,0.06,Drama
304,2001,0.3,Comedy
305,2014,0.17,Drama
306,2003,,Comedy
307,1955,1.09,Crime
308,1958,,Action
309,1926,1.03,Action
310,1957,0.75,Drama
311,2012,,Animation
312,1949,,Action
313,2015,,Drama
314,2007,1.11,Drama
315,1951,3.97,Drama
316,2015,0.34,Crime
317,1960,1.53,Drama
318,2008,,Action
319,2006,2.2,Comedy
320,1955,0.06,Crime
321,1927,0.54,Drama
322,1978,,Drama
323,2012,2.8,Comedy
324,1991,2.6,Drama
325,1925,5.45,Adventure
326,2016,1.24,Crime
327,1975,,Action
328,1988,0.28,Comedy
329,2019,,Crime
330,1937,0.17,Drama
331,1986,4.94,Comedy
332,1971,,Drama
333,2013,0.14,Drama
334,2000,,Action
335,1928,,Comedy
336,1996,,Crime
337,1999,,Action
338,2010,0.01,Drama
339,2012,1.04,Mystery
340,2013,1.43,Adventure
341,2005,0.73,Drama
342,1998,,Comedy
343,2023,,Action
344,2023,,Action
345,2021,108.33,Action
346,2014,333.18,Action
347,2017,92.05,Action
348,2016,151.1,Comedy
349,2016,363.07,Action
350,2010,106.95,Drama
351,1987,30.86,Adventure
352,2014,91.13,Biography
353,2015,183.64,Action
