,tconst_x,titleType,primaryTitle,startYear,genre_1,genre_2,genre_3,tconst_y,averageRating,numVotes,wr
1002278,tt10062612,movie,She Should Run - Cyprus,2020,Documentary,,,tt27349351,9.7,8.0,7.09
1002279,tt10062614,movie,Guilty,2020,Drama,Thriller,,tt27349355,9.6,9.0,7.09
1002785,tt10063548,movie,Changing the Devil,2020,,,,tt2737934,7.7,7.0,7.07
1002796,tt10063580,movie,Cyberlante,2020,Thriller,,,tt2738004,7.7,15.0,7.08
1002986,tt10063934,movie,Bigfoot: The Legend is Real,2020,Adventure,Documentary,,tt27390886,7.7,393.0,7.24
1003936,tt10065694,movie,Antebellum,2020,Drama,Horror,Mystery,tt27434651,4.1,39.0,6.95
1004238,tt10066262,movie,Depois de Ser Cinza,2020,Drama,,,tt27448467,8.1,11.0,7.08
1004333,tt10066432,movie,Sleepless Beauty,2020,Horror,,,tt27455797,6.7,24.0,7.06
1005643,tt10068758,movie,The Country Singer,2020,Comedy,,,tt27502672,7.7,6.0,7.07
1005735,tt10068916,movie,Made in Abyss: Dawn of the Deep Soul,2020,Adventure,Animation,Drama,tt27504647,9.3,1410.0,8.37
1008208,tt10073452,movie,As Far as I Know,2020,Drama,,,tt27599380,8.5,214.0,7.32
1008460,tt10073902,movie,Amazing Animals,2020,Documentary,,,tt2761158,6.1,10.0,7.06
1009259,tt10075442,movie,Classic Again,2020,Drama,Romance,,tt27642294,7.4,14.0,7.07
1010484,tt10077544,movie,Rosa's Wedding,2020,Comedy,,,tt27689894,7.3,6.0,7.07
1010849,tt10078206,movie,VHS Violence II: VHS and KILL,2020,Horror,,,tt27707460,6.9,11.0,7.06
1011313,tt10079028,movie,Celluloid Slaughter,2020,Horror,,,tt27722934,8.8,5.0,7.07
1011548,tt10079448,movie,In a Silent Way,2020,Comedy,,,tt27732302,7.3,55.0,7.08
1011901,tt10080092,movie,Wild Grass,2020,Drama,Romance,,tt27745006,6.1,11.0,7.06
1012806,tt10081762,movie,Breaking Surface,2020,Adventure,Drama,Horror,tt27795140,5.6,26.0,7.03
1012820,tt10081788,movie,Paradise,2020,Drama,,,tt27795571,9.2,5.0,7.08
1013252,tt10082520,movie,Range of Sniper,2020,Action,Drama,Thriller,tt27810356,7.0,13.0,7.07
1014757,tt10085194,movie,What Men Don't Know About Women,2020,Biography,Comedy,Romance,tt2787288,6.2,6.0,7.06
1015611,tt10086754,movie,Momi's House,2020,Family,,,tt27917263,8.2,35.0,7.1
1018327,tt10091630,movie,The Oath,2020,,,,tt28077494,9.7,32.0,7.15
1018797,tt10092464,movie,Adbhoot - ek dhandal saira vaira,2020,Drama,,,tt2809422,8.4,6.0,7.07
1018959,tt10092752,movie,Earth and Blood,2020,Action,Crime,Drama,tt28104004,7.4,14.0,7.07
1019439,tt10093594,movie,Rol & Rol,2020,Documentary,,,tt28131729,7.0,44.0,7.06
1020389,tt10095262,movie,Fall Nights in China Grove,2020,Crime,,,tt2819612,6.3,12.0,7.06
1020412,tt10095308,movie,Pink Skies Ahead,2020,Comedy,Drama,,tt28197701,6.2,10.0,7.06
1020848,tt10096114,movie,The Glint of Darkness: Revolution,2020,Action,Crime,Mystery,tt28225187,7.2,19.0,7.07
1020911,tt10096232,movie,Whatever It Takes The Movie: When Blood Runs Cold,2020,Crime,,,tt28226975,9.1,24.0,7.11
1021514,tt10097346,movie,Stars Await Us,2020,Drama,,,tt2825406,8.1,52.0,7.12
1021530,tt10097386,movie,Sudba,2020,Drama,,,tt2825438,6.1,19.0,7.05
1021574,tt10097470,movie,Love Song 1980,2020,Drama,,,tt28255273,9.0,11.0,7.09
1021582,tt10097484,movie,Monster Run,2020,Action,Drama,Fantasy,tt28255609,9.1,18.0,7.1
1021846,tt10097958,movie,Gripped: Climbing the Killer Pillar,2020,Action,Adventure,,tt28265860,7.6,7.0,7.07
1021893,tt10098042,movie,Sunray,2020,Drama,War,,tt28267638,7.8,89.0,7.13
1021894,tt10098044,movie,Strange Tenants: Ska'd for Life,2020,Documentary,Musical,,tt28267642,8.1,102.0,7.16
1021896,tt10098048,movie,Can Art Stop a Bullet: William Kelly's Big Picture,2020,Documentary,History,,tt2826774,5.2,217.0,6.73
1022119,tt10098442,movie,The Other,2020,Drama,,,tt2827974,6.7,160.0,7.02
1023118,tt10100196,movie,You Mean Everything to Me,2020,Drama,,,tt2831630,8.4,45.0,7.12
1023359,tt10100678,movie,Losers Revolution,2020,Comedy,,,tt2833256,8.3,94.0,7.17
1023662,tt10101246,movie,"Ok, está bien...",2020,Comedy,,,tt28349572,7.9,213.0,7.21
1023943,tt10101806,movie,Illegal Woman,2020,Drama,,,tt2836038,7.2,37.0,7.07
1024281,tt10102402,movie,The Campaign,2020,Comedy,Drama,,tt2837694,6.4,163.0,6.97
1024469,tt10102746,movie,The Forgotten,2020,Drama,,,tt2841572,7.2,1884.0,7.15
1024625,tt10103028,movie,Blindfire,2020,Crime,Drama,Thriller,tt28426740,4.0,5.0,7.05
1025467,tt10104502,movie,Psycho Ape!,2020,Comedy,Horror,,tt28468580,5.9,12.0,7.05
1026327,tt10106082,movie,Conversaciones,2020,Comedy,Drama,Mystery,tt28501816,8.2,7.0,7.07
1026344,tt10106118,movie,On The Wild Side,2020,Documentary,,,tt28502008,4.8,28.0,7.0
1026571,tt10106564,movie,Les petites fièvres,2020,Biography,Documentary,,tt28510081,10.0,6.0,7.08
1026943,tt10107222,movie,Cocoon,2020,Drama,Romance,,tt28522300,5.9,19.0,7.04
1028529,tt10110022,movie,Enchanted Feather,2020,Family,Fantasy,,tt2861956,6.9,10.0,7.06
1028839,tt10110614,movie,Apples,2020,Drama,,,tt28634740,5.6,4070.0,5.89
1028858,tt10110648,movie,Entroidar: Laza,2020,Documentary,,,tt28635008,6.1,57.0,7.01
1028999,tt10110912,movie,Rock 4,2020,Comedy,Music,Musical,tt28641753,5.9,54.0,7.01
1029107,tt10111116,movie,Scarred,2020,Biography,,,tt28650898,6.8,8.0,7.06
1029141,tt10111180,movie,Millennium Bugs,2020,Comedy,,,tt2865246,7.1,11.0,7.07
1029287,tt10111440,movie,Aadya,2020,Thriller,,,tt28657705,6.6,5.0,7.06
1029564,tt10111924,movie,The Phantom of Spandau,2020,Documentary,,,tt28669439,7.6,22.0,7.08
1029626,tt10112032,movie,Askedager,2020,Drama,,,tt28670689,1.4,9.0,7.02
1029627,tt10112034,movie,Vrithakrithiyulla Chathuram - A Minor Inconvenience,2020,Adventure,,,tt28670721,6.6,7.0,7.06
1032778,tt10117768,movie,My Little Sister,2020,Drama,,,tt2888976,7.0,9.0,7.07
1032977,tt10118112,movie,Contemporary Past,2020,Biography,Documentary,History,tt2891370,7.2,12.0,7.07
1034682,tt10121110,movie,The Art of Dying Far Away,2020,Drama,,,tt29058900,7.8,24.0,7.08
1035435,tt10122486,movie,I Need You Dead!,2020,Comedy,Horror,,tt29114417,6.5,22.0,7.05
1035512,tt10122618,movie,Gondi,2020,Drama,,,tt29118335,7.9,11.0,7.08
1036093,tt10123698,movie,Miss,2020,Comedy,Drama,,tt2915480,9.1,38.0,7.14
1036237,tt10123970,movie,Mother's Child,2020,Drama,,,tt29169168,9.2,9.0,7.09
1036995,tt10125260,movie,Rush to Judgment: Encounter at the Lincoln Memorial,2020,Documentary,,,tt29231201,7.4,7.0,7.07
